x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,3.210777876909181e-03,4.657522880271070e-04,-1.203013510294175e+01,5.521266427055329e-02
6.250000000000000e-01,2.670454545454545e-01,3.348368525151072e-03,3.746290247847560e-04,-1.057600234178346e+01,-7.891443008450549e-01
6.250000000000000e-01,2.784090909090909e-01,3.485959173392962e-03,2.835057615424050e-04,-9.121869580625138e+00,-1.633501265960666e+00
6.250000000000000e-01,2.897727272727273e-01,3.623549821634854e-03,1.923824983000535e-04,-7.667736819466823e+00,-2.477858231076270e+00
6.250000000000000e-01,3.011363636363636e-01,3.761140469876744e-03,1.012592350577025e-04,-6.213604058308520e+00,-3.322215196191875e+00
6.250000000000000e-01,3.125000000000000e-01,3.898731118118635e-03,1.013597181535146e-05,-4.759471297150208e+00,-4.166572161307492e+00
6.250000000000000e-01,3.238636363636364e-01,3.880793188535141e-03,-8.359740486806096e-05,1.358657449723409e+01,2.812930604463652e+00
6.250000000000000e-01,3.352272727272727e-01,3.862855258951647e-03,-1.773307815514734e-04,1.267962351040562e+01,2.834330954511159e+00
6.250000000000000e-01,3.465909090909091e-01,3.844917329368153e-03,-2.710641582348858e-04,1.177267252357717e+01,2.855731304558680e+00
6.250000000000000e-01,3.579545454545455e-01,3.826979399784659e-03,-3.647975349182987e-04,1.086572153674872e+01,2.877131654606199e+00
6.250000000000000e-01,3.693181818181818e-01,3.809041470201165e-03,-4.585309116017111e-04,9.958770549920263e+00,2.898532004653705e+00
6.250000000000000e-01,3.806818181818182e-01,3.832677539518987e-03,-5.413266302793376e-04,-8.428744748721018e-01,-2.037378256441726e+00
6.250000000000000e-01,3.920454545454546e-01,3.897887607738125e-03,-6.131846909511783e-04,4.884753681547296e-01,-2.688547513030200e+00
6.250000000000000e-01,4.034090909090909e-01,3.963097675957263e-03,-6.850427516230189e-04,1.819825211181561e+00,-3.339716769618673e+00
6.250000000000000e-01,4.147727272727273e-01,4.028307744176400e-03,-7.569008122948593e-04,3.151175054208412e+00,-3.990886026207145e+00
6.250000000000000e-01,4.261363636363636e-01,4.093517812395538e-03,-8.287588729666999e-04,4.482524897235241e+00,-4.642055282795617e+00
6.250000000000000e-01,4.375000000000000e-01,4.158727880614676e-03,-9.006169336385403e-04,5.813874740262074e+00,-5.293224539384084e+00
6.250000000000000e-01,4.488636363636364e-01,4.089307879791781e-03,-9.522910887086173e-04,2.047557241651575e+01,8.814974094781096e-02
6.250000000000000e-01,4.602272727272727e-01,4.019887878968886e-03,-1.003965243778694e-03,1.926131906397300e+01,4.338928299078568e-01
