iteration,interface_residual
0,nan
1,9.257299533410493e-01
2,5.820166607420535e-01
3,4.161493319630871e-01
4,1.541158830877259e-01
5,1.080044035539773e-01
6,4.800073793345691e-02
7,3.169591363482978e-02
8,1.787689179977853e-02
9,9.040114254473385e-03
10,6.368913368324831e-03
11,2.732455845510850e-03
12,2.140372562598942e-03
13,9.572618783710408e-04
14,6.624588364019057e-04
15,3.658424008171184e-04
16,1.932191353118561e-04
17,1.362732633117819e-04
18,5.786500927174899e-05
19,4.697856154894672e-05
20,2.012966766356618e-05
21,1.483643446779356e-05
22,7.824016964276272e-06
23,4.360737993342546e-06
24,2.986886095862204e-06
25,1.284902155329809e-06
26,1.055421128489622e-06
27,4.352310596590871e-07
