iteration,interface_residual
0,nan
1,1.002753252496032e+00
2,7.199873884342177e-01
3,5.433451543967700e-01
4,1.602442030308201e-01
5,1.205822022539678e-01
6,4.624014117459698e-02
7,3.175146393965648e-02
8,1.631101146521769e-02
9,7.970816238631811e-03
10,5.458745508760703e-03
11,2.107921447560170e-03
12,1.714911769192096e-03
13,6.679087896421225e-04
14,4.921933672364091e-04
15,2.417548081953370e-04
16,1.305088307814157e-04
17,8.581570184392555e-05
18,3.437851759648140e-05
19,2.794577597836598e-05
20,1.060751471175964e-05
21,8.236123223071772e-06
22,3.855310049551071e-06
23,2.215056714275348e-06
24,1.396315302541321e-06
25,5.783698625255030e-07
