0.625 0.0 0.0
0.75 0.0 0.0
0.875 0.0 0.0
1.0 0.0 0.0
1.125 0.0 0.0
1.25 0.0 0.0
1.375 0.0 0.0
1.5 0.0 0.0
0.625 0.125 4.9520487791348804e-05
0.75 0.125 4.8014450745631966e-05
0.875 0.125 4.3389569104287446e-05
1.0 0.125 3.668318834227414e-05
1.125 0.125 2.857701916117991e-05
1.25 0.125 1.9546645652032952e-05
1.375 0.125 9.936135053972479e-06
1.5 0.125 0.0
0.625 0.25 8.999212909256796e-05
0.75 0.25 8.717065162153697e-05
0.875 0.25 7.88527737525948e-05
1.0 0.25 6.672833602388111e-05
1.125 0.25 5.201125168491549e-05
1.25 0.25 3.5578079168238924e-05
1.375 0.25 1.807499071553386e-05
1.5 0.25 0.0
0.625 0.375 0.00011978908800855602
0.75 0.375 0.00011594936784094145
0.875 0.375 0.00010486558841778273
1.0 0.375 8.872731599361455e-05
1.125 0.375 6.91420939857996e-05
1.25 0.375 4.728048663382426e-05
1.375 0.375 2.40085436510912e-05
1.5 0.375 0.0
0.625 0.5 0.00013669224523441199
0.75 0.5 0.00013220266789011332
0.875 0.5 0.00011942806028409183
1.0 0.5 0.00010093464638328947
1.125 0.5 7.857855628756654e-05
1.25 0.5 5.369189556551256e-05
1.375 0.5 2.7248391801119872e-05
1.5 0.5 0.0
0.625 0.625 0.0001377472190459736
0.75 0.625 0.0001330775292402107
0.875 0.625 0.00011995821369859087
1.0 0.625 0.00010116786614684456
1.125 0.625 7.862513428786686e-05
1.25 0.625 5.3658018729024333e-05
1.375 0.625 2.7211319775030322e-05
1.5 0.625 0.0
0.625 0.75 0.00011906204348205227
0.75 0.75 0.00011484654728534381
0.875 0.75 0.00010316397914126696
1.0 0.75 8.672048970694762e-05
1.125 0.75 6.722794569975395e-05
1.25 0.75 4.580279631169928e-05
1.375 0.75 2.3207552334908093e-05
1.5 0.75 0.0
0.625 0.875 7.54784422067121e-05
0.75 0.875 7.26375582306493e-05
0.875 0.875 6.489334106927195e-05
1.0 0.875 5.4295384390737916e-05
1.125 0.875 4.194990793362791e-05
1.25 0.875 2.8520330770278922e-05
1.375 0.875 1.4437660762984873e-05
1.5 0.875 0.0
0.625 1.0 0.0
0.75 1.0 0.0
0.875 1.0 0.0
1.0 1.0 0.0
1.125 1.0 0.0
1.25 1.0 0.0
1.375 1.0 0.0
1.5 1.0 0.0
