x,y,ux,uy
7.102272727272727e-03,1.136363636363636e-02,4.878111003013174e-10,2.241135948558993e-10
2.130681818181818e-02,1.136363636363636e-02,1.463433300896972e-09,6.723407845754667e-10
3.551136363636364e-02,1.136363636363636e-02,2.331528228728696e-09,9.289238706364960e-10
4.971590909090909e-02,1.136363636363636e-02,2.948726186777913e-09,7.383373814942708e-10
6.392045454545454e-02,1.136363636363636e-02,3.558829491253171e-09,5.314293613624087e-10
7.812500000000000e-02,1.136363636363636e-02,4.105080913562796e-09,1.776275623238175e-10
9.232954545454546e-02,1.136363636363636e-02,4.651332335872420e-09,-1.761742367147736e-10
1.065340909090909e-01,1.136363636363636e-02,5.213813058479556e-09,-6.202396122354243e-10
1.207386363636364e-01,1.136363636363636e-02,5.778097036675303e-09,-1.074334274031860e-09
1.349431818181818e-01,1.136363636363636e-02,6.381360933831767e-09,-1.573874754259806e-09
1.491477272727273e-01,1.136363636363636e-02,7.001330510542821e-09,-2.092892013815541e-09
1.633522727272727e-01,1.136363636363636e-02,7.661339519242482e-09,-2.636365141170181e-09
1.775568181818182e-01,1.136363636363636e-02,8.361387959930747e-09,-3.204294136323724e-09
1.917613636363636e-01,1.136363636363636e-02,9.091983127024597e-09,-3.783991527904536e-09
2.059659090909091e-01,1.136363636363636e-02,9.893853989064815e-09,-4.391148511148976e-09
2.201704545454546e-01,1.136363636363636e-02,1.070833077063858e-08,-5.001582479965174e-09
2.343750000000000e-01,1.136363636363636e-02,1.163626082801431e-08,-5.641509318927186e-09
2.485795454545454e-01,1.136363636363636e-02,1.256419088539004e-08,-6.281436157889197e-09
2.627840909090909e-01,1.136363636363636e-02,1.363268274958392e-08,-6.946307419578298e-09
2.769886363636364e-01,1.136363636363636e-02,1.471679259231316e-08,-7.613950283792632e-09
2.911931818181818e-01,1.136363636363636e-02,1.593789618483057e-08,-8.297779983264121e-09
3.053977272727273e-01,1.136363636363636e-02,1.721771138440004e-08,-8.988546897845821e-09
3.196022727272727e-01,1.136363636363636e-02,1.862221795319446e-08,-9.688513190784695e-09
3.338068181818182e-01,1.136363636363636e-02,2.015141589121384e-08,-1.039767886208075e-08
3.480113636363636e-01,1.136363636363636e-02,2.177798672423712e-08,-1.111081240371567e-08
3.622159090909091e-01,1.136363636363636e-02,2.363176097893615e-08,-1.183320430947461e-08
3.764204545454545e-01,1.136363636363636e-02,2.552890616814342e-08,-1.255638820441995e-08
3.906250000000000e-01,1.136363636363636e-02,2.781638976792504e-08,-1.328670000204298e-08
4.048295454545455e-01,1.136363636363636e-02,3.010387336770666e-08,-1.401701179966600e-08
4.190340909090909e-01,1.136363636363636e-02,3.293102564019816e-08,-1.475089846112898e-08
4.332386363636364e-01,1.136363636363636e-02,3.581814109854632e-08,-1.548518232968530e-08
4.474431818181818e-01,1.136363636363636e-02,3.931258738066400e-08,-1.622651431676304e-08
4.616477272727273e-01,1.136363636363636e-02,4.306731830154005e-08,-1.697086692606425e-08
4.758522727272727e-01,1.136363636363636e-02,4.749316960390056e-08,-1.773356000061466e-08
4.900568181818182e-01,1.136363636363636e-02,5.259014128774559e-08,-1.851459354041428e-08
5.042613636363636e-01,1.136363636363636e-02,5.836788692744055e-08,-1.936459234912072e-08
5.184659090909091e-01,1.136363636363636e-02,6.573410513078531e-08,-2.037551011860970e-08
5.326704545454546e-01,1.136363636363636e-02,7.354742378165802e-08,-2.142486678747875e-08
5.468750000000000e-01,1.136363636363636e-02,8.538464646028148e-08,-2.282017355076830e-08
5.610795454545454e-01,1.136363636363636e-02,9.722186913890497e-08,-2.421548031405785e-08
5.752840909090909e-01,1.136363636363636e-02,1.186126879994365e-07,-3.157189349919254e-08
5.894886363636364e-01,1.136363636363636e-02,1.410650175468465e-07,-3.959065184230997e-08
6.036931818181818e-01,1.136363636363636e-02,1.776778227667555e-07,-1.023191868505440e-07
6.178977272727273e-01,1.136363636363636e-02,2.203594032748788e-07,-1.884947690009717e-07
