iteration,interface_residual
1,2.935558309448852e-04
2,5.078130269078082e-04
3,1.262817769732750e-03
4,1.539944668406484e-03
5,1.403350841748670e-03
6,1.052047661365766e-03
7,7.212156000326102e-04
8,5.822642286495624e-04
9,5.246539400867750e-04
10,4.548441251264979e-04
11,5.397777946222430e-04
12,9.779314095779946e-04
13,1.720974214863310e-03
14,2.535721585000327e-03
15,3.135807433979945e-03
16,3.440423382561624e-03
17,3.919458445508651e-03
18,5.522207548181275e-03
19,8.486300831497321e-03
20,1.204686220680152e-02
21,1.508423100255077e-02
22,1.676195688554631e-02
23,1.760826801838333e-02
24,2.193127505895150e-02
25,3.669302170158240e-02
26,6.289441712538822e-02
27,9.533672259842978e-02
28,1.245220231218417e-01
29,1.393963135987454e-01
30,1.327247286344453e-01
31,1.062141491505618e-01
32,7.162873240888119e-02
33,4.540681660355501e-02
34,3.362261725911474e-02
35,2.756720766831934e-02
36,5.105492142539239e-02
37,1.324743837854220e-01
38,2.718974129098760e-01
39,4.583579597723620e-01
40,6.663813063291141e-01
41,8.737639290682440e-01
42,1.089070450332746e+00
43,1.368322196695927e+00
44,1.790781137263781e+00
45,2.397534840029732e+00
46,3.161211176550302e+00
47,4.019126662682210e+00
48,4.944052904878968e+00
49,6.016975062728307e+00
50,7.429401184223350e+00
