iteration, interface_residual
0, nan
1, 9.447991196909866e-01
2, 5.414722347298075e-01
3, 4.123025119872047e-01
4, 1.924123030002083e-01
5, 8.426956689924005e-02
6, 5.511188620158414e-02
7, 2.569276695305417e-02
8, 1.306520986886259e-02
9, 8.658046890630929e-03
10, 4.167600465276218e-03
11, 2.108353773602688e-03
12, 1.409850797053066e-03
13, 7.007965286859427e-04
14, 3.438821337703432e-04
15, 2.341053310785718e-04
16, 1.204999254796201e-04
17, 5.657687013538545e-05
18, 3.934667108010204e-05
19, 2.106045553248089e-05
20, 9.461712098580695e-06
21, 6.724290165288728e-06
22, 3.739757176340447e-06
23, 1.622193658811389e-06
24, 1.173640944591513e-06
25, 6.734342318869744e-07
