x, y, ux, uy, tx, ty
2.556818181818182e-01, 6.250000000000000e-01, 3.610389294329268e-07, 4.505242057757403e-08, -5.114585667255715e-04, -2.934203550318724e-04
2.670454545454545e-01, 6.250000000000000e-01, 3.587575126421048e-07, 4.801583093710162e-08, -5.079615803316793e-04, -2.556646249038716e-04
2.784090909090909e-01, 6.250000000000000e-01, 3.564760958512828e-07, 5.097924129662921e-08, -5.044645939377870e-04, -2.179088947758708e-04
2.897727272727273e-01, 6.250000000000000e-01, 3.513565689572354e-07, 5.387371861796862e-08, -4.969850373219389e-04, -1.820983075338644e-04
3.011363636363636e-01, 6.250000000000000e-01, 3.452910053621130e-07, 5.674521825991195e-08, -4.881779572987722e-04, -1.469361012538563e-04
3.125000000000000e-01, 6.250000000000000e-01, 3.392254417669905e-07, 5.961671790185528e-08, -4.793708772756055e-04, -1.117738949738482e-04
3.238636363636364e-01, 6.250000000000000e-01, 3.296154271869607e-07, 6.231456552641978e-08, -4.655730753303125e-04, -7.930076777065755e-05
3.352272727272727e-01, 6.250000000000000e-01, 3.200054126069308e-07, 6.501241315098427e-08, -4.517752733850194e-04, -4.682764056746686e-05
3.465909090909091e-01, 6.250000000000000e-01, 3.095804392724626e-07, 6.764764131796438e-08, -4.368290883876288e-04, -1.506417771434012e-05
3.579545454545455e-01, 6.250000000000000e-01, 2.967105896746793e-07, 7.009501111219131e-08, -4.184377542339456e-04, 1.457029208859487e-05
3.693181818181818e-01, 6.250000000000000e-01, 2.838407400768961e-07, 7.254238090641823e-08, -4.000464200802624e-04, 4.420476189152971e-05
3.806818181818182e-01, 6.250000000000000e-01, 2.695057790495065e-07, 7.482960010014471e-08, -3.795938181629671e-04, 7.232214189170720e-05
3.920454545454546e-01, 6.250000000000000e-01, 2.537057065925104e-07, 7.695666869337076e-08, -3.570799484820594e-04, 9.892243208912746e-05
4.034090909090909e-01, 6.250000000000000e-01, 2.379056341355144e-07, 7.908373728659679e-08, -3.345660788011519e-04, 1.255227222865476e-04
4.147727272727273e-01, 6.250000000000000e-01, 2.201893098583032e-07, 8.092452733865062e-08, -3.093596694454690e-04, 1.496623916447129e-04
4.261363636363636e-01, 6.250000000000000e-01, 2.018342349743537e-07, 8.266989121031373e-08, -2.832557468648610e-04, 1.729818540564601e-04
4.375000000000000e-01, 6.250000000000000e-01, 1.834791600904042e-07, 8.441525508197683e-08, -2.571518242842531e-04, 1.963013164682072e-04
4.488636363636364e-01, 6.250000000000000e-01, 1.629899957792085e-07, 8.572655958276290e-08, -2.280502789133669e-04, 2.160293122042933e-04
4.602272727272727e-01, 6.250000000000000e-01, 1.425008314680128e-07, 8.703786408354897e-08, -1.989487335424807e-04, 2.357573079403795e-04
4.715909090909091e-01, 6.250000000000000e-01, 1.215947913800839e-07, 8.823000389672415e-08, -1.692611153206331e-04, 2.544910364405991e-04
4.829545454545454e-01, 6.250000000000000e-01, 9.943812396195567e-08, 8.906464964706667e-08, -1.378152785459014e-04, 2.702419632332192e-04
4.943181818181818e-01, 6.250000000000000e-01, 7.728145654382729e-08, 8.989929539740920e-08, -1.063694417711694e-04, 2.859928900258393e-04
5.056818181818181e-01, 6.250000000000000e-01, 5.454710228239420e-08, 9.047959592478849e-08, -7.410940569880190e-05, 2.995203950426825e-04
5.170454545454546e-01, 6.250000000000000e-01, 3.123506117765584e-08, 9.080555122920457e-08, -4.103517032879800e-05, 3.108244782837490e-04
5.284090909090908e-01, 6.250000000000000e-01, 7.923020072917934e-09, 9.113150653362065e-08, -7.960934958794750e-06, 3.221285615248153e-04
5.397727272727273e-01, 6.250000000000000e-01, -1.583741327886765e-08, 9.106057925929459e-08, 2.574940949155137e-05, 3.296762318307495e-04
5.511363636363636e-01, 6.250000000000000e-01, -3.974731071300208e-08, 9.085735779205448e-08, 5.967179030201124e-05, 3.359717644916395e-04
5.625000000000000e-01, 6.250000000000000e-01, -6.365720814713652e-08, 9.065413632481437e-08, 9.359417111247111e-05, 3.422672971525295e-04
5.738636363636364e-01, 6.250000000000000e-01, -8.756221298151996e-08, 8.991400004278412e-08, 1.275174783833612e-04, 3.428952805259675e-04
5.852272727272727e-01, 6.250000000000000e-01, -1.114672178159034e-07, 8.917386376075386e-08, 1.614407856542512e-04, 3.435232638994054e-04
5.965909090909092e-01, 6.250000000000000e-01, -1.352090037289661e-07, 8.830106257437271e-08, 1.951357024542519e-04, 3.425440771355163e-04
6.079545454545454e-01, 6.250000000000000e-01, -1.584611328780654e-07, 8.703026667493896e-08, 2.281454478415829e-04, 3.367433799596460e-04
6.193181818181819e-01, 6.250000000000000e-01, -1.817132620271651e-07, 8.575947077550519e-08, 2.611551932289145e-04, 3.309426827837757e-04
6.306818181818181e-01, 6.250000000000000e-01, -2.042922747809291e-07, 8.423413170569601e-08, 2.932170729945850e-04, 3.214945671282133e-04
6.420454545454546e-01, 6.250000000000000e-01, -2.261981711393583e-07, 8.245424946551136e-08, 3.243310871385954e-04, 3.083990329929585e-04
6.534090909090908e-01, 6.250000000000000e-01, -2.481040674977870e-07, 8.067436722532674e-08, 3.554451012826053e-04, 2.953034988577040e-04
6.647727272727273e-01, 6.250000000000000e-01, -2.684460036888510e-07, 7.854094799884425e-08, 3.843521768141460e-04, 2.760036287199174e-04
6.761363636363636e-01, 6.250000000000000e-01, -2.882666198241265e-07, 7.628968311026249e-08, 4.125236061415299e-04, 2.546356465812871e-04
6.875000000000000e-01, 6.250000000000000e-01, -3.080872359594020e-07, 7.403841822168074e-08, 4.406950354689138e-04, 2.332676644426567e-04
6.988636363636364e-01, 6.250000000000000e-01, -3.250371734507081e-07, 7.137021745575399e-08, 4.648292769350036e-04, 2.025195442905098e-04
7.102272727272727e-01, 6.250000000000000e-01, -3.419871109420141e-07, 6.870201668982724e-08, 4.889635184010935e-04, 1.717714241383628e-04
7.215909090909092e-01, 6.250000000000000e-01, -3.580115289575044e-07, 6.594692707218247e-08, 5.118074906417172e-04, 1.383545031742687e-04
7.329545454545454e-01, 6.250000000000000e-01, -3.712593885455466e-07, 6.293117089938376e-08, 5.307806552059420e-04, 9.693117977433501e-05
7.443181818181819e-01, 6.250000000000000e-01, -3.845072481335892e-07, 5.991541472658498e-08, 5.497538197701673e-04, 5.550785637440049e-05
