iteration, interface_residual
0, nan
1, 1.026184865378619e+00
2, 6.747869104056501e-01
3, 5.937369575872530e-01
4, 2.691328364411617e-01
5, 1.111368531892331e-01
6, 7.390742788936729e-02
7, 2.992900153730669e-02
8, 1.759708496705634e-02
9, 1.114863161506767e-02
10, 4.330615528826639e-03
11, 2.997922078049654e-03
12, 1.815754169392175e-03
13, 7.123023063393262e-04
14, 5.325994447268222e-04
15, 3.124005865344996e-04
16, 1.250535247182566e-04
17, 9.431211416165368e-05
18, 5.396885309428541e-05
19, 2.198888320729040e-05
20, 1.649901295088768e-05
21, 9.282236816840115e-06
22, 3.832375917743842e-06
23, 2.859766896227971e-06
24, 1.590404632184890e-06
25, 6.632539059349795e-07
