x,y,ux,uy
7.102272727272727e-03,1.136363636363636e-02,-1.219623219532131e-11,-2.489399930177296e-10
2.130681818181818e-02,1.136363636363636e-02,-3.658869658824424e-11,-7.468199790509342e-10
3.551136363636364e-02,1.136363636363636e-02,-6.098116098116718e-11,-1.244699965084139e-09
4.971590909090909e-02,1.136363636363636e-02,-8.537362537409008e-11,-1.742579951117344e-09
6.392045454545454e-02,1.136363636363636e-02,-1.037226875214143e-10,-2.240725720580851e-09
7.812500000000000e-02,1.136363636363636e-02,-6.768112945834971e-11,-2.741263540917077e-09
9.232954545454546e-02,1.136363636363636e-02,-3.163957139528518e-11,-3.241801361253304e-09
1.065340909090909e-01,1.136363636363636e-02,4.401986667779375e-12,-3.742339181589531e-09
1.207386363636364e-01,1.136363636363636e-02,4.044354473084393e-11,-4.242877001925758e-09
1.349431818181818e-01,1.136363636363636e-02,1.112963498890521e-10,-4.756267385560991e-09
1.491477272727273e-01,1.136363636363636e-02,1.970682609451788e-10,-5.275166010610083e-09
1.633522727272727e-01,1.136363636363636e-02,2.828401720013057e-10,-5.794064635659176e-09
1.775568181818182e-01,1.136363636363636e-02,3.686120830574323e-10,-6.312963260708268e-09
1.917613636363636e-01,1.136363636363636e-02,4.714588155388282e-10,-6.836742550654987e-09
2.059659090909091e-01,1.136363636363636e-02,6.141467980125183e-10,-7.371910058696170e-09
2.201704545454546e-01,1.136363636363636e-02,7.568347804862084e-10,-7.907077566737353e-09
2.343750000000000e-01,1.136363636363636e-02,8.995227629598983e-10,-8.442245074778533e-09
2.485795454545454e-01,1.136363636363636e-02,1.042210745433589e-09,-8.977412582819716e-09
2.627840909090909e-01,1.136363636363636e-02,1.250784052520796e-09,-9.516345993796634e-09
2.769886363636364e-01,1.136363636363636e-02,1.466677951231729e-09,-1.005569783843308e-08
2.911931818181818e-01,1.136363636363636e-02,1.682571849942661e-09,-1.059504968306952e-08
3.053977272727273e-01,1.136363636363636e-02,1.898465748653594e-09,-1.113440152770597e-08
3.196022727272727e-01,1.136363636363636e-02,2.160777694004750e-09,-1.166020957917329e-08
3.338068181818182e-01,1.136363636363636e-02,2.469507685996131e-09,-1.217247383747150e-08
3.480113636363636e-01,1.136363636363636e-02,2.778237677987513e-09,-1.268473809576971e-08
3.622159090909091e-01,1.136363636363636e-02,3.086967669978894e-09,-1.319700235406792e-08
3.764204545454545e-01,1.136363636363636e-02,3.406084959857210e-09,-1.370178817727679e-08
3.906250000000000e-01,1.136363636363636e-02,3.818687930717962e-09,-1.413926808468170e-08
