x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,5.191019613822816e-20,2.897012014483983e-20,-5.906008051002591e-04,3.397018048248791e-04
6.250000000000000e-01,2.670454545454545e-01,2.035272945206907e-20,-4.222536229670086e-21,-5.282213996396679e-04,3.186855830905477e-04
6.250000000000000e-01,2.784090909090909e-01,-1.120473723409003e-20,-3.741519260418000e-20,-4.658419941790767e-04,2.976693613562161e-04
6.250000000000000e-01,2.897727272727273e-01,-2.215310439221815e-20,-4.070044170398609e-20,-4.029823961554738e-04,2.756774881273160e-04
6.250000000000000e-01,3.011363636363636e-01,-2.623177170766916e-20,-3.401655504555748e-20,-3.399627339486519e-04,2.533603977319792e-04
6.250000000000000e-01,3.125000000000000e-01,-3.031043902312018e-20,-2.733266838712888e-20,-2.769430717418299e-04,2.310433073366425e-04
6.250000000000000e-01,3.238636363636364e-01,-1.501458413103972e-20,-1.407968801573778e-20,-2.144245913985243e-04,2.078827178691517e-04
6.250000000000000e-01,3.352272727272727e-01,2.812707610407379e-22,-8.267076443466751e-22,-1.519061110568140e-04,1.847221284012043e-04
6.250000000000000e-01,3.465909090909091e-01,9.220835360136337e-21,7.092594303454394e-21,-8.975492047080260e-05,1.614487409024445e-04
6.250000000000000e-01,3.579545454545455e-01,-9.084709197229357e-22,-9.891390195148817e-22,-2.870559914172426e-05,1.378369593145400e-04
6.250000000000000e-01,3.693181818181818e-01,-1.103777719958216e-20,-9.070872342484119e-21,3.234372218735386e-05,1.142251777266356e-04
6.250000000000000e-01,3.806818181818182e-01,-1.441614599489852e-20,-5.063494254496550e-21,9.223491909521580e-05,9.056151683236657e-05
6.250000000000000e-01,3.920454545454546e-01,-1.104357730567199e-20,1.103299524444790e-20,1.509679915782584e-04,6.684597663040643e-05
6.250000000000000e-01,4.034090909090909e-01,-7.671008616445482e-21,2.712948474339228e-20,2.097010640613006e-04,4.313043642844643e-05
6.250000000000000e-01,4.147727272727273e-01,-3.209387497949014e-21,1.994406780380904e-20,2.661258424563403e-04,1.957453113769081e-05
6.250000000000000e-01,4.261363636363636e-01,1.615251096970768e-21,4.998015384716706e-21,3.217811894900332e-04,-3.928162515302300e-06
6.250000000000000e-01,4.375000000000000e-01,6.439889691890551e-21,-9.948037034375628e-21,3.774365365237260e-04,-2.743085616829543e-05
6.250000000000000e-01,4.488636363636364e-01,8.451493679868442e-21,-1.391573331752502e-20,4.293132621089733e-04,-5.042456272048678e-05
6.250000000000000e-01,4.602272727272727e-01,1.046309766784633e-20,-1.788342960067441e-20,4.811899876940322e-04,-7.341826927282188e-05
6.250000000000000e-01,4.715909090909091e-01,1.121854326793614e-20,-1.286393457552011e-20,5.319573155404178e-04,-9.621378238485133e-05
6.250000000000000e-01,4.829545454545454e-01,8.205513704361613e-21,1.911713437454564e-20,5.793964501671379e-04,-1.184147151781410e-04
6.250000000000000e-01,4.943181818181818e-01,5.192484140787078e-21,5.109820332461154e-20,6.268355847938579e-04,-1.406156479714308e-04
6.250000000000000e-01,5.056818181818181e-01,1.111615609130389e-20,6.015421994378722e-20,6.717400579112876e-04,-1.622810849059511e-04
6.250000000000000e-01,5.170454545454546e-01,2.597652955591234e-20,4.628518423207252e-20,7.141098695201396e-04,-1.834110259807178e-04
