x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,2.444723554689494e-06,3.258912753591513e-06,2.066061000978832e-02,-2.129560650070031e-02
6.250000000000000e-01,2.670454545454545e-01,2.444723554689494e-06,3.258912753591513e-06,2.066061000978832e-02,-2.129560650070031e-02
6.250000000000000e-01,2.784090909090909e-01,2.444723554689494e-06,3.258912753591513e-06,2.066061000978832e-02,-2.129560650070031e-02
6.250000000000000e-01,2.897727272727273e-01,2.444723554689494e-06,3.258912753591513e-06,2.066061000978832e-02,-2.129560650070031e-02
6.250000000000000e-01,3.011363636363636e-01,2.444723554689494e-06,3.258912753591513e-06,2.066061000978832e-02,-2.129560650070031e-02
6.250000000000000e-01,3.125000000000000e-01,2.444723554689494e-06,3.258912753591513e-06,2.066061000978832e-02,-2.129560650070031e-02
6.250000000000000e-01,3.238636363636364e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,3.352272727272727e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,3.465909090909091e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,3.579545454545455e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,3.693181818181818e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,3.806818181818182e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,3.920454545454546e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,4.034090909090909e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,4.147727272727273e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,4.261363636363636e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,4.375000000000000e-01,9.781226354073596e-07,6.050714385846352e-07,1.717649594494656e-02,-1.707286289265171e-02
6.250000000000000e-01,4.488636363636364e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,4.602272727272727e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,4.715909090909091e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,4.829545454545454e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,4.943181818181818e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.056818181818181e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.170454545454546e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.284090909090908e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.397727272727273e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.511363636363636e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.625000000000000e-01,-1.209006414117032e-06,-2.352267221446727e-06,8.814087639740533e-03,-8.837704545266377e-03
6.250000000000000e-01,5.738636363636364e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,5.852272727272727e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,5.965909090909092e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.079545454545454e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.193181818181819e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.306818181818181e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.420454545454546e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.534090909090908e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.647727272727273e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.761363636363636e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.875000000000000e-01,-3.017614338622776e-06,-4.493254955137398e-06,-3.801858878681232e-03,3.013699701754437e-04
6.250000000000000e-01,6.988636363636364e-01,-3.462611680768621e-06,-4.894572004850377e-06,-1.867430132859423e-02,8.953761857091892e-03
6.250000000000000e-01,7.102272727272727e-01,-3.462611680768621e-06,-4.894572004850377e-06,-1.867430132859423e-02,8.953761857091892e-03
6.250000000000000e-01,7.215909090909092e-01,-3.462611680768621e-06,-4.894572004850377e-06,-1.867430132859423e-02,8.953761857091892e-03
6.250000000000000e-01,7.329545454545454e-01,-3.462611680768621e-06,-4.894572004850377e-06,-1.867430132859423e-02,8.953761857091892e-03
6.250000000000000e-01,7.443181818181819e-01,-3.462611680768621e-06,-4.894572004850377e-06,-1.867430132859423e-02,8.953761857091892e-03
