iteration,interface_residual
1,1.310129471803233e+05
2,2.619812860978075e-01
3,1.046337239003883e-01
4,3.392954198549782e-02
5,1.077544700203250e-02
6,3.381712894921577e-03
7,1.042825700644144e-03
8,3.176464427919875e-04
9,9.566194508311763e-05
10,2.860108736072242e-05
11,8.524914069248671e-06
12,2.541345795044811e-06
13,7.585670703372046e-07
