*Step  = 0
*Time  = 0
*Data  = sx
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
*Step  = 1
*Time  = 1
*Data  = sx
1,-2.98691245249e-06
2,-6.16822447341e-07
3,9.19782334918e-06
4,2.50031542528e-05
5,0.000105773025705
6,-8.98505652103e-06
7,-4.94900430681e-06
8,1.76957546927e-06
9,1.42126863771e-05
10,-2.26313457183e-05
11,-2.0015143388e-05
12,-2.11653581239e-05
13,-2.20072010642e-05
14,-2.77496468897e-05
15,3.43230601274e-06
16,-2.94826242815e-05
17,-3.484455452e-05
18,-4.28306014086e-05
19,-4.35130818168e-05
20,-2.10730968178e-05
21,-3.04413973637e-05
22,-3.61637634931e-05
23,-4.48187420226e-05
24,-4.75244345672e-05
25,-2.29012107695e-05
26,-2.23950214178e-05
27,-2.42019554619e-05
28,-2.65239527266e-05
29,-3.41483026496e-05
30,-4.38617784937e-06
31,-1.1530211431e-05
32,-7.96337890563e-06
33,-1.80715534981e-06
34,9.974833727e-06
35,-2.37591363401e-05
36,-4.34086700807e-06
37,-2.38888473092e-06
38,6.96972537639e-06
39,2.3818730984e-05
40,0.000104794909884
