*Step  = 0
*Time  = 0
*Data  = sy
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
*Step  = 1
*Time  = 1
*Data  = sy
1,-4.70337105085e-06
2,-7.32788269175e-06
3,3.53553459931e-06
4,4.01465747686e-05
5,0.000300553989007
6,-6.26478409416e-06
7,-7.3414067927e-06
8,-4.78474918708e-06
9,3.36129312508e-05
10,1.01627996649e-05
11,-6.90675349446e-06
12,-4.73087095898e-06
13,-4.98529341542e-06
14,-2.7149407078e-05
15,-7.77478279623e-05
16,-7.42132229092e-06
17,-1.54352640536e-06
18,-1.11604705602e-05
19,-5.1831923841e-05
20,-0.000167269343624
21,-7.56317016837e-06
22,-1.41088709427e-06
23,-1.08596423765e-05
24,-5.42046035825e-05
25,-0.000181136382505
26,-7.38376594356e-06
27,-4.59581170276e-06
28,-5.55030127813e-06
29,-3.05613806866e-05
30,-0.000110617285543
31,-7.00287915834e-06
32,-8.03227252533e-06
33,-6.58328829317e-06
34,2.77878198887e-05
35,7.02641449379e-06
36,-5.56611035307e-06
37,-8.9713200353e-06
38,2.42876023293e-07
39,3.66930117224e-05
40,0.000304738652179
